between_group_minimum_distance,cell_id,cell_index,complete_linkage_valid,group_count,group_id,ordered_members_json,source_run_id,source_stage,tolerance,tolerance_denominator,tolerance_numerator,transfer_execution_mode,within_group_maximum_distance,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
,s0-step9050-f99of100-d3of4,126,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.004309018159433631,stage18-scaling-24a9adb84176,0,7,9050,126
,s1-step8500-f4of5-d1of4,199,True,1,G01,"[""C1""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,5,8500,199
,s1-step8500-f4of5-d1of2,200,True,1,G01,"[""C1""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,5,8500,200
,s1-step8500-f4of5-d3of4,201,True,1,G01,"[""C1""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,5,8500,201
,s1-step8650-f4of5-d1of4,217,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.025510204081632626,stage18-scaling-24a9adb84176,1,6,8650,217
,s1-step8650-f4of5-d1of2,218,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.025510204081632626,stage18-scaling-24a9adb84176,1,6,8650,218
,s1-step8650-f4of5-d3of4,219,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.025510204081632626,stage18-scaling-24a9adb84176,1,6,8650,219
,s1-step8650-f17of20-d1of4,220,True,1,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.01939058171745156,stage18-scaling-24a9adb84176,1,6,8650,220
,s1-step8650-f17of20-d1of2,221,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.022959183673469385,stage18-scaling-24a9adb84176,1,6,8650,221
,s1-step8650-f17of20-d3of4,222,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.022959183673469385,stage18-scaling-24a9adb84176,1,6,8650,222
,s1-step8650-f9of10-d1of4,223,True,1,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.007971938775510168,stage18-scaling-24a9adb84176,1,6,8650,223
,s1-step8650-f9of10-d1of2,224,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.01658163265306123,stage18-scaling-24a9adb84176,1,6,8650,224
,s1-step8650-f9of10-d3of4,225,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7"",""C8""]",,,0.05,20,1,fresh_execution,0.01658163265306123,stage18-scaling-24a9adb84176,1,6,8650,225
0.05389030612244905,s1-step9050-f4of5-d1of4,1,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.019770408163265252,stage18-scaling-24a9adb84176,1,7,9050,235
0.05389030612244905,s1-step9050-f4of5-d1of4,1,True,2,G02,"[""C3""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,7,9050,235
0.022321428571428603,s1-step9050-f4of5-d1of2,2,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.019770408163265252,stage18-scaling-24a9adb84176,1,7,9050,236
0.022321428571428603,s1-step9050-f4of5-d1of2,2,True,2,G02,"[""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03939673745767924,stage18-scaling-24a9adb84176,1,7,9050,236
0.022321428571428603,s1-step9050-f4of5-d3of4,3,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.019770408163265252,stage18-scaling-24a9adb84176,1,7,9050,237
0.022321428571428603,s1-step9050-f4of5-d3of4,3,True,2,G02,"[""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.03939673745767924,stage18-scaling-24a9adb84176,1,7,9050,237
,s1-step9050-f17of20-d1of4,4,True,1,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.034438775510204134,stage18-scaling-24a9adb84176,1,7,9050,238
0.034438775510204134,s1-step9050-f17of20-d1of2,5,True,2,G01,"[""C1""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,7,9050,239
0.034438775510204134,s1-step9050-f17of20-d1of2,5,True,2,G02,"[""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04647583871960603,stage18-scaling-24a9adb84176,1,7,9050,239
0.034438775510204134,s1-step9050-f17of20-d3of4,6,True,2,G01,"[""C1""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,1,7,9050,240
0.034438775510204134,s1-step9050-f17of20-d3of4,6,True,2,G02,"[""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.04647583871960603,stage18-scaling-24a9adb84176,1,7,9050,240
,s1-step9050-f9of10-d1of4,7,True,1,G01,"[""C1"",""C2"",""C3""]",,,0.05,20,1,fresh_execution,0.019082794706063444,stage18-scaling-24a9adb84176,1,7,9050,241
,s1-step9050-f9of10-d1of2,8,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.03601108033240996,stage18-scaling-24a9adb84176,1,7,9050,242
,s1-step9050-f9of10-d3of4,9,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.03601108033240996,stage18-scaling-24a9adb84176,1,7,9050,243
,s1-step9050-f19of20-d1of4,10,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.007971938775510279,stage18-scaling-24a9adb84176,1,7,9050,244
