stage17_run_id,cell_index,cell_id,circuit_i,circuit_j,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,same_primary_transfer_group
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C2,C4,0.002462296091104932,0.001879699248120259,0.00187969924812037,0.000956632653061229,0.002462296091104932,Q1,True
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C3,C4,0.006463527239150446,0.0015664160401002158,0.0006265664160400863,0.005102040816326481,0.006463527239150446,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C2,0.0,0.0025062656641604564,0.0,0.002869897959183687,0.002869897959183687,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C3,0.004001231148045514,0.0028195488721804995,0.0012531328320802837,0.008928571428571397,0.008928571428571397,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C4,0.002462296091104932,0.004385964912280715,0.00187969924812037,0.003826530612244916,0.004385964912280715,Q2,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C5,0.00800246229609114,0.002192982456140302,0.0025062656641603454,0.003826530612244916,0.00800246229609114,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C6,0.005847953216374213,0.003759398496240629,0.0012531328320802837,0.011160714285714302,0.011160714285714302,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C1,C7,0.005540166204986208,0.005639097744360888,0.0028195488721804995,0.002869897959183687,0.005639097744360888,Q2,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C2,C3,0.004001231148045514,0.00031328320802004317,0.0012531328320802837,0.00605867346938771,0.00605867346938771,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C2,C4,0.002462296091104932,0.001879699248120259,0.00187969924812037,0.000956632653061229,0.002462296091104932,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C2,C5,0.00800246229609114,0.0046992481203007586,0.0025062656641603454,0.000956632653061229,0.00800246229609114,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C2,C6,0.005847953216374213,0.0012531328320801727,0.0012531328320802837,0.008290816326530615,0.008290816326530615,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C2,C7,0.005540166204986208,0.0031328320802004317,0.0028195488721804995,0.0,0.005540166204986208,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C3,C4,0.006463527239150446,0.0015664160401002158,0.0006265664160400863,0.005102040816326481,0.006463527239150446,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C3,C5,0.004001231148045625,0.005012531328320802,0.003759398496240629,0.005102040816326481,0.005102040816326481,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C3,C6,0.001846722068328699,0.0009398496240601295,0.0,0.0022321428571429047,0.0022321428571429047,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C3,C7,0.009541397353031722,0.0028195488721803885,0.0015664160401002158,0.00605867346938771,0.009541397353031722,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C4,C5,0.010464758387196071,0.006578947368421018,0.004385964912280715,0.0,0.010464758387196071,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C4,C6,0.008310249307479145,0.0006265664160400863,0.0006265664160400863,0.0073341836734693855,0.008310249307479145,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C4,C7,0.003077870113881276,0.0012531328320801727,0.0009398496240601295,0.000956632653061229,0.003077870113881276,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C5,C6,0.0021545090797169264,0.005952380952380931,0.003759398496240629,0.0073341836734693855,0.0073341836734693855,Q4,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C5,C7,0.013542628501077347,0.00783208020050119,0.005325814536340845,0.000956632653061229,0.013542628501077347,Q1,True
stage17-sensitivity-s1-7801e7938531,14,s1-step9050-f39of40-d1of2,C6,C7,0.011388119421360421,0.001879699248120259,0.0015664160401002158,0.008290816326530615,0.011388119421360421,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C2,0.0,0.0025062656641604564,0.0,0.002869897959183687,0.002869897959183687,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C3,0.004001231148045514,0.0028195488721804995,0.0012531328320802837,0.008928571428571397,0.008928571428571397,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C4,0.002462296091104932,0.004385964912280715,0.00187969924812037,0.003826530612244916,0.004385964912280715,Q2,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C5,0.00800246229609114,0.002192982456140302,0.0025062656641603454,0.003826530612244916,0.00800246229609114,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C6,0.005847953216374213,0.003759398496240629,0.0012531328320802837,0.011160714285714302,0.011160714285714302,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C1,C7,0.005540166204986208,0.005639097744360888,0.0028195488721804995,0.002869897959183687,0.005639097744360888,Q2,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C2,C3,0.004001231148045514,0.00031328320802004317,0.0012531328320802837,0.00605867346938771,0.00605867346938771,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C2,C4,0.002462296091104932,0.001879699248120259,0.00187969924812037,0.000956632653061229,0.002462296091104932,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C2,C5,0.00800246229609114,0.0046992481203007586,0.0025062656641603454,0.000956632653061229,0.00800246229609114,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C2,C6,0.005847953216374213,0.0012531328320801727,0.0012531328320802837,0.008290816326530615,0.008290816326530615,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C2,C7,0.005540166204986208,0.0031328320802004317,0.0028195488721804995,0.0,0.005540166204986208,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C3,C4,0.006463527239150446,0.0015664160401002158,0.0006265664160400863,0.005102040816326481,0.006463527239150446,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C3,C5,0.004001231148045625,0.005012531328320802,0.003759398496240629,0.005102040816326481,0.005102040816326481,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C3,C6,0.001846722068328699,0.0009398496240601295,0.0,0.0022321428571429047,0.0022321428571429047,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C3,C7,0.009541397353031722,0.0028195488721803885,0.0015664160401002158,0.00605867346938771,0.009541397353031722,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C4,C5,0.010464758387196071,0.006578947368421018,0.004385964912280715,0.0,0.010464758387196071,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C4,C6,0.008310249307479145,0.0006265664160400863,0.0006265664160400863,0.0073341836734693855,0.008310249307479145,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C4,C7,0.003077870113881276,0.0012531328320801727,0.0009398496240601295,0.000956632653061229,0.003077870113881276,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C5,C6,0.0021545090797169264,0.005952380952380931,0.003759398496240629,0.0073341836734693855,0.0073341836734693855,Q4,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C5,C7,0.013542628501077347,0.00783208020050119,0.005325814536340845,0.000956632653061229,0.013542628501077347,Q1,True
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,C6,C7,0.011388119421360421,0.001879699248120259,0.0015664160401002158,0.008290816326530615,0.011388119421360421,Q1,True
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,C1,C2,0.002462296091104932,0.00031328320802004317,0.00031328320802004317,0.0025510204081632404,0.0025510204081632404,Q4,True
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,C1,C3,0.004616805170821747,0.002192982456140302,0.0015664160401002158,0.0006377551020408934,0.004616805170821747,Q1,True
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,C2,C3,0.0021545090797168154,0.0025062656641603454,0.0012531328320801727,0.001913265306122347,0.0025062656641603454,Q2,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C2,0.002462296091104932,0.00031328320802004317,0.00031328320802004317,0.0025510204081632404,0.0025510204081632404,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C3,0.004616805170821747,0.002192982456140302,0.0015664160401002158,0.0006377551020408934,0.004616805170821747,Q1,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C4,0.0033856571252692813,0.0012531328320801727,0.0006265664160400863,0.0015943877551020114,0.0033856571252692813,Q1,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C5,0.004001231148045514,0.0015664160401003269,0.0012531328320801727,0.00701530612244905,0.00701530612244905,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C6,0.004616805170821747,0.0006265664160400863,0.00031328320802004317,0.005739795918367374,0.005739795918367374,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C1,C7,0.0021545090797168154,0.00031328320802004317,0.00031328320802004317,0.001913265306122458,0.0021545090797168154,Q1,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C2,C3,0.0021545090797168154,0.0025062656641603454,0.0012531328320801727,0.001913265306122347,0.0025062656641603454,Q2,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C2,C4,0.0009233610341643494,0.0015664160401002158,0.00031328320802004317,0.000956632653061229,0.0015664160401002158,Q2,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C2,C5,0.0015389350569405824,0.0012531328320802837,0.0015664160401002158,0.0044642857142858094,0.0044642857142858094,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C2,C6,0.0021545090797168154,0.00031328320802004317,0.0006265664160400863,0.0031887755102041337,0.0031887755102041337,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C2,C7,0.0003077870113881165,0.0006265664160400863,0.0006265664160400863,0.0006377551020407823,0.0006377551020407823,Q4,True
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,C3,C4,0.001231148045552466,0.0009398496240601295,0.0009398496240601295,0.000956632653061118,0.001231148045552466,Q1,True
