stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,1,C1,True,0,0.9900540371211528,146,0.28294573643410853,0,1,0.0,,6098,6098,371,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,2,C2,True,0,0.9900540371211528,162,0.313953488372093,19,289,0.0657439446366782,0.0657439446366782,12148,6050,355,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,3,C3,True,0,0.9901323517894902,176,0.34108527131782945,27,134,0.20149253731343283,0.15666732128829536,18292,6144,341,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,4,C4,True,0,0.9900540371211528,162,0.313953488372093,16,61,0.26229508196721313,0.2038677526892807,24694,6402,355,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,5,C5,True,0,0.9900540371211528,180,0.3488372093023256,34,137,0.24817518248175183,0.2073319681737112,31802,7108,337,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,6,C6,True,0,0.9900540371211528,180,0.3488372093023256,77,249,0.3092369477911647,0.2262718779448201,37982,6180,337,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,7,C7,True,0,0.9901323517894902,169,0.32751937984496127,68,247,0.27530364372469635,0.22667975223865194,44199,6217,348,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,17,s1-step9050-f99of100-d1of2,8,C8,False,0,0.9902106664578275,179,,77,278,0.27697841726618705,,50000,5801,338,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,1,C1,True,0,0.9900540371211528,146,0.28294573643410853,0,1,0.0,,6098,6098,371,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,2,C2,True,0,0.9900540371211528,162,0.313953488372093,19,289,0.0657439446366782,0.0657439446366782,12148,6050,355,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,3,C3,True,0,0.9901323517894902,176,0.34108527131782945,27,134,0.20149253731343283,0.15666732128829536,18292,6144,341,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,4,C4,True,0,0.9900540371211528,162,0.313953488372093,16,61,0.26229508196721313,0.2038677526892807,24694,6402,355,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,5,C5,True,0,0.9900540371211528,180,0.3488372093023256,34,137,0.24817518248175183,0.2073319681737112,31802,7108,337,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,18,s1-step9050-f99of100-d3of4,6,C6,True,0,0.9900540371211528,180,0.3488372093023256,77,249,0.3092369477911647,0.2262718779448201,37982,6180,337,1,accepted,,False,reference_existing_result
