cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
118,s0-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,4,49,70,59.75,60.0,0.09496124031007752,0.13565891472868216,0.11579457364341085,0.11627906976744186,stage18-scaling-24a9adb84176,0,7,9050,118
119,s0-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,6,49,70,61.5,63.0,0.09496124031007752,0.13565891472868216,0.1191860465116279,0.12209302325581395,stage18-scaling-24a9adb84176,0,7,9050,119
120,s0-step9050-f19of20-d3of4,19,20,0.950,3,4,0.75,6,49,70,61.5,63.0,0.09496124031007752,0.13565891472868216,0.1191860465116279,0.12209302325581395,stage18-scaling-24a9adb84176,0,7,9050,120
121,s0-step9050-f39of40-d1of4,39,40,0.975,1,4,0.25,6,61,76,67.83333333333333,67.0,0.1182170542635659,0.14728682170542637,0.13145994832041344,0.1298449612403101,stage18-scaling-24a9adb84176,0,7,9050,121
122,s0-step9050-f39of40-d1of2,39,40,0.975,1,2,0.50,6,61,76,67.83333333333333,67.0,0.1182170542635659,0.14728682170542637,0.13145994832041344,0.1298449612403101,stage18-scaling-24a9adb84176,0,7,9050,122
123,s0-step9050-f39of40-d3of4,39,40,0.975,3,4,0.75,6,61,76,67.83333333333333,67.0,0.1182170542635659,0.14728682170542637,0.13145994832041344,0.1298449612403101,stage18-scaling-24a9adb84176,0,7,9050,123
124,s0-step9050-f99of100-d1of4,99,100,0.990,1,4,0.25,5,66,84,73,72,0.12790697674418605,0.16279069767441862,0.14147286821705427,0.13953488372093023,stage18-scaling-24a9adb84176,0,7,9050,124
125,s0-step9050-f99of100-d1of2,99,100,0.990,1,2,0.50,6,66,84,72,71.0,0.12790697674418605,0.16279069767441862,0.13953488372093023,0.1375968992248062,stage18-scaling-24a9adb84176,0,7,9050,125
126,s0-step9050-f99of100-d3of4,99,100,0.990,3,4,0.75,6,66,84,72,71.0,0.12790697674418605,0.16279069767441862,0.13953488372093023,0.1375968992248062,stage18-scaling-24a9adb84176,0,7,9050,126
127,s1-step200-f4of5-d1of4,4,5,0.800,1,4,0.25,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,127
128,s1-step200-f4of5-d1of2,4,5,0.800,1,2,0.50,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,128
129,s1-step200-f4of5-d3of4,4,5,0.800,3,4,0.75,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,129
130,s1-step200-f17of20-d1of4,17,20,0.850,1,4,0.25,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,130
131,s1-step200-f17of20-d1of2,17,20,0.850,1,2,0.50,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,131
132,s1-step200-f17of20-d3of4,17,20,0.850,3,4,0.75,0,,,,,,,,,stage18-scaling-24a9adb84176,1,1,200,132
