record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,80,s0-step8500-f9of10-d1of2,9,10,0.900,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,80
cell,81,s0-step8500-f9of10-d3of4,9,10,0.900,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
cell,82,s0-step8500-f19of20-d1of4,19,20,0.950,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3109,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
cell,83,s0-step8500-f19of20-d1of2,19,20,0.950,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3109,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
cell,84,s0-step8500-f19of20-d3of4,19,20,0.950,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3109,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,84
cell,85,s0-step8500-f39of40-d1of4,39,40,0.975,1,4,0.25,5,True,1,6,requested_member_6_budget_exhaustion,budget_exhaustion,True,46345,3655,2878,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,85
cell,86,s0-step8500-f39of40-d1of2,39,40,0.975,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3107,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,86
cell,87,s0-step8500-f39of40-d3of4,39,40,0.975,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3107,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,87
cell,88,s0-step8500-f99of100-d1of4,99,100,0.990,1,4,0.25,5,True,1,6,requested_member_6_budget_exhaustion,budget_exhaustion,True,45553,4447,2821,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,88
cell,89,s0-step8500-f99of100-d1of2,99,100,0.990,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3094,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,89
cell,90,s0-step8500-f99of100-d3of4,99,100,0.990,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3094,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,90
cell,91,s0-step8650-f4of5-d1of4,4,5,0.800,1,4,0.25,5,True,1,6,requested_member_6_budget_exhaustion,budget_exhaustion,True,48085,1915,2996,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,91
cell,92,s0-step8650-f4of5-d1of2,4,5,0.800,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3116,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,92
cell,93,s0-step8650-f4of5-d3of4,4,5,0.800,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3116,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,93
cell,94,s0-step8650-f17of20-d1of4,17,20,0.850,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,94
cell,95,s0-step8650-f17of20-d1of2,17,20,0.850,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,95
cell,96,s0-step8650-f17of20-d3of4,17,20,0.850,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,96
cell,97,s0-step8650-f9of10-d1of4,9,10,0.900,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3113,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,97
cell,98,s0-step8650-f9of10-d1of2,9,10,0.900,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3113,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,98
cell,99,s0-step8650-f9of10-d3of4,9,10,0.900,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3113,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,99
cell,100,s0-step8650-f19of20-d1of4,19,20,0.950,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3110,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,100
cell,101,s0-step8650-f19of20-d1of2,19,20,0.950,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3110,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,101
cell,102,s0-step8650-f19of20-d3of4,19,20,0.950,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3110,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,6,8650,102
