stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C6,2,6,34,138,17,69,0.2463768115942029,0.7536231884057971,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C7,2,7,33,143,3,13,0.23076923076923078,0.7692307692307692,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C4,3,4,28,172,7,43,0.16279069767441862,0.8372093023255813,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C5,3,5,26,172,13,86,0.1511627906976744,0.8488372093023255,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C6,3,6,34,161,34,161,0.2111801242236025,0.7888198757763976,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C3,C7,3,7,37,162,37,162,0.22839506172839505,0.7716049382716049,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,C5,4,5,36,144,1,4,0.25,0.75,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,C6,4,6,26,151,26,151,0.17218543046357615,0.8278145695364238,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C4,C7,4,7,30,151,30,151,0.1986754966887417,0.8013245033112583,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C5,C6,5,6,25,150,1,6,0.16666666666666666,0.8333333333333334,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C5,C7,5,7,33,146,33,146,0.22602739726027396,0.773972602739726,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C6,C7,6,7,25,151,25,151,0.16556291390728478,0.8344370860927153,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,C2,1,2,22,191,22,191,0.11518324607329843,0.8848167539267016,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,C3,1,3,30,193,30,193,0.15544041450777202,0.844559585492228,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C1,C4,1,4,36,164,9,41,0.21951219512195122,0.7804878048780488,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C2,C3,2,3,26,194,13,97,0.13402061855670103,0.865979381443299,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C2,C4,2,4,27,170,27,170,0.1588235294117647,0.8411764705882353,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,19,20,0.950,1,4,0.25,fresh_execution,,,C3,C4,3,4,30,177,10,59,0.1694915254237288,0.8305084745762712,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C2,1,2,22,191,22,191,0.11518324607329843,0.8848167539267016,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C3,1,3,30,193,30,193,0.15544041450777202,0.844559585492228,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C4,1,4,36,164,9,41,0.21951219512195122,0.7804878048780488,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C5,1,5,51,180,17,60,0.2833333333333333,0.7166666666666667,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C6,1,6,47,160,47,160,0.29375,0.70625,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C1,C7,1,7,48,155,48,155,0.3096774193548387,0.6903225806451613,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C3,2,3,26,194,13,97,0.13402061855670103,0.865979381443299,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C4,2,4,27,170,27,170,0.1588235294117647,0.8411764705882353,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C5,2,5,32,196,8,49,0.16326530612244897,0.8367346938775511,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C6,2,6,37,167,37,167,0.2215568862275449,0.7784431137724551,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C2,C7,2,7,41,159,41,159,0.2578616352201258,0.7421383647798743,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C3,C4,3,4,30,177,10,59,0.1694915254237288,0.8305084745762712,True
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,19,20,0.950,1,2,0.50,fresh_execution,,,C3,C5,3,5,35,203,5,29,0.1724137931034483,0.8275862068965517,True
