component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N144,144,2.5890484862986476,16.202018041904434,False,206883.5683770777,9928.509897008691,0.0479908093953234,1
N145,145,1.8630280810285962,6.523703323880592,False,83301.16774263128,4718.888986512098,0.056648533440631456,20
N146,146,1.9422810232652221,8.555311790110771,False,109242.77624792443,6128.717639718293,0.056101811490118884,56
N147,147,2.210099684556356,8.30830258515423,False,106088.71570983437,3980.4658174192637,0.037520162166033995,48
N148,148,3.65429793207324,26.839616980714904,False,342715.0692267484,24183.024726042593,0.07056306213965319,3
N149,149,1.7178708325567476,7.079838687554164,False,90402.46020137909,2851.4935833320365,0.031542212202854816,48
N150,150,5.88582975884698,80.44728814104431,False,1027231.4222729948,132949.4707438369,0.12942504275195793,56
N151,151,1.3864443074624446,3.687082703700385,False,47080.3590435502,1015.9514365894048,0.021579092794293073,3
N152,152,9.785944403388564,187.96023916690294,False,2400064.293922183,267385.11037350923,0.11140747814574113,56
N153,153,1.2684357242093351,2.761059641341831,False,35255.970560293834,932.1952795200845,0.026440777681212,5
N154,154,2.300350616063645,10.33008905077986,False,131904.907089408,9239.986607598525,0.0700503628825231,3
N155,155,4.263653376103293,35.84578834601226,False,457714.8713902305,49506.07134159428,0.10815919349796976,3
N156,156,1.5856576674108713,6.0404711982162,False,77130.77673002264,1878.10707108231,0.02434964550734609,3
N157,157,5.269727126699925,52.380457178333764,False,668846.0577101439,65778.5388579651,0.09834630570024439,48
N158,158,2.777037955037572,14.005206892213543,False,178832.48680667474,11918.358102139686,0.066645374758021,56
N159,159,2.661943140682612,10.66978403288679,False,136242.47231593137,8934.752814069241,0.0655797906643277,3
N160,160,3.5475359232817487,23.56730509841403,False,300930.91880164866,30778.795995385168,0.10227860971531565,3
N161,161,8.598988765552937,152.58005582894148,False,1948294.7328797537,242096.5057750711,0.12426071974091457,56
N162,162,6.8353571371486765,92.96031215334321,False,1187010.2258860392,151893.5436448113,0.127963129830184,3
N163,163,3.646799797813939,26.62879421036685,False,340023.07327217417,28787.483531812617,0.08466332374088463,3
N164,164,7.375384436427432,102.175893946476,False,1304683.989802552,137680.171619377,0.10552760108615515,56
N165,165,2.0473744528369866,10.206537351893909,False,130327.27544633331,5595.707017847483,0.042935809090490086,48
N166,166,2.959683959820015,16.581913236703034,False,211734.45011946105,21128.67627290488,0.09978856185653319,1
N167,167,4.399995080676127,37.12293759814043,False,474022.7901906551,50699.392665874504,0.10695560153443862,56
N168,168,1.891982559170026,6.444330218690447,False,82287.65256245832,1062.890130792099,0.012916763301582089,17
N169,169,2.1521592247372925,7.488075407439325,False,95615.23487759274,1725.2105874553208,0.018043260466430344,56
N170,170,3.6110608772415165,30.02852454699819,False,383434.2299406199,43683.450644664335,0.1139268412510519,1
N171,171,1.1764382262243513,3.02091589641542,False,38574.07508132849,383.3043789005466,0.009936839135932579,56
N172,172,10.455905957574402,223.2094931477672,False,2850162.0180038395,357502.6443159857,0.1254323936876995,56
N173,173,2.1728421428443347,9.487911403323233,False,121151.14070903434,4777.05594800002,0.03943054865222405,56
N174,174,1.5081487127593183,4.107397927539926,False,52447.36413675732,4093.099426863918,0.07804204261230549,1
N175,175,2.386871498488228,10.757613452098981,False,137363.96616985186,5672.240223421311,0.041293509364803374,1
N176,176,1.2089416097048924,3.493948317792446,False,44614.226069891745,1138.49704687842,0.025518699911881774,20
N177,177,5.404433213981984,56.54514002155993,False,722024.8929352986,72274.41647540893,0.10009961870093793,17
N178,178,1.1328501350671476,2.798667592021114,False,35736.1864825176,472.0778518397705,0.013210079146825428,3
N179,179,5.3231998468544734,57.03184892083168,False,728239.6788700996,83414.33392292052,0.11454241830428966,48
N180,180,3.0901009583377363,26.128896127935523,False,333639.8746576087,21559.36424566275,0.06461866786093125,48
N181,181,3.5126773951747854,24.822528249552803,False,316958.8632185396,32317.486939846283,0.10196113972545306,17
N182,182,5.269607517926903,51.92423927700877,False,663020.6113281249,67424.26804454844,0.10169256715788672,48
N183,183,5.995276623250891,71.36260116051889,False,911229.0542186657,104206.21980503695,0.11435787667502402,17
N184,184,2.672501426076225,13.132350400560545,False,167686.98226475756,4144.56697319031,0.02471609255062231,56
N185,185,2.4146290976364595,10.840149174720093,False,138417.86481200083,5279.0486581833675,0.03813849220513098,17
N186,186,1.766726540693961,7.44967094315209,False,95124.84827310903,2364.244556837289,0.024854121712230268,20
N187,187,2.7913018907019005,12.623278182665338,False,161186.63911445363,5425.403627902691,0.033659139849986454,56
N188,188,1.607887020044151,3.877413690921136,False,49510.69541937197,1075.482149393547,0.021722218609208723,17
N189,189,3.3253578128410965,20.437291427567665,False,260963.77423861146,23364.349132341165,0.08953100559841705,1
N190,190,2.6182325057685802,13.714065408771557,False,175114.901204604,10738.804543959623,0.061324333166898344,48
N191,191,1.8964364655787391,7.834084189842288,False,100033.42102009615,1392.9269893202234,0.013924616144442287,1
N192,192,1.6980410883973192,4.896330448480866,False,62521.24349665217,3437.2719385476194,0.05497766433151118,3
N193,193,2.6156779526520135,8.778996152803888,False,112099.00187515283,5681.54313687618,0.05068326248973958,56
N194,194,1.5318238657666474,4.022285589997422,False,51360.564698677066,1734.6104963117898,0.03377319752009015,17
N195,195,2.217346343525261,13.13873356594704,False,167768.4889035778,13189.116280395925,0.07861497928837015,20
N196,196,0.8478167831221398,1.8371005232474755,False,23457.93658134701,801.7472187043878,0.034178079385802036,3
N197,197,4.368768312361466,37.496696371470414,False,478795.3159673057,52569.226340506415,0.10979477991404595,48
N198,198,3.6325795295050947,28.035356763654466,False,357983.4705151038,17365.453931458746,0.048509094306705074,48
N199,199,4.431183242857074,47.56089649055903,False,607305.0872879482,72106.45373528829,0.11873184540128785,1
N200,200,4.109370536930269,35.84136704648452,False,457658.41581656085,51545.543735245774,0.11262885583187071,48
N201,201,4.989081560512462,51.816939548342084,False,661650.5010927798,71331.26464827181,0.10780807167902288,3
N202,202,6.422485939010023,95.82203095188508,False,1223551.5132246204,140601.72015562188,0.11491279168546958,56
N203,203,2.6607104293994905,14.174800027793395,False,180998.0215548938,17854.012791151912,0.09864203286739835,3
N204,204,4.799807025769752,50.72720718552184,False,647735.7085519285,74275.02642071898,0.1146687228140741,3
N205,205,2.273779758512121,10.70195419952327,False,136653.25317371264,13012.566298290449,0.09522324566798983,48
N206,206,3.615412947871024,25.78543278866314,False,329254.1912784396,28266.884456373788,0.08585125172322985,3
N207,207,7.238568993712632,96.62863892053312,False,1233851.0903762875,146273.6316798691,0.11855047405701125,48
N208,208,2.8925787680162287,15.646729874256962,False,199793.0937643871,16645.394325753798,0.08331316169208258,3
N209,209,2.27261681081616,9.703951893841701,False,123909.76173246469,7778.421403107602,0.06277488790513616,3
N210,210,3.799232612058227,24.954263080946596,False,318640.985280607,33563.5884641995,0.10533355724669934,17
N211,211,3.794461509467636,27.52868843876743,False,351513.82267462125,38180.791046598344,0.1086181782442746,48
N212,212,1.1653573325235513,2.070233617032635,False,26434.813055889717,515.1836614400945,0.019488833166736195,17
