cell_id,cell_index,circuit_i,circuit_j,maximum_absolute_difference,maximum_distance_subset,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,same_primary_transfer_group,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s2-step7450-f9of10-d1of2,296,C1,C7,0.012927054478301003,Q1,0.012927054478301003,0.00971177944862145,0.003759398496240629,0.002869897959183687,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C2,C3,0.007694675284703023,Q1,0.007694675284703023,0.005952380952380931,0.0028195488721804995,0.0012755102040815647,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C2,C4,0.01658163265306123,Q4,0.011695906432748537,0.011278195488721776,0.016290726817042578,0.01658163265306123,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C2,C5,0.012755102040816313,Q4,0.0021545090797168154,0.005325814536340845,0.003759398496240629,0.012755102040816313,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C2,C6,0.005325814536340845,Q3,0.0021545090797168154,0.0012531328320801727,0.005325814536340845,0.005102040816326481,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C2,C7,0.01211734693877542,Q4,0.0027700831024930483,0.0025062656641604564,0.005325814536340845,0.01211734693877542,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C3,C4,0.015306122448979664,Q4,0.004001231148045514,0.005325814536340845,0.013471177944862078,0.015306122448979664,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C3,C5,0.011479591836734748,Q4,0.009849184364419838,0.0006265664160400863,0.0009398496240601295,0.011479591836734748,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C3,C6,0.005540166204986208,Q1,0.005540166204986208,0.0046992481203007586,0.0025062656641603454,0.003826530612244916,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C3,C7,0.010841836734693855,Q4,0.010464758387196071,0.003446115288220475,0.0025062656641603454,0.010841836734693855,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C4,C5,0.013850415512465353,Q1,0.013850415512465353,0.005952380952380931,0.012531328320801949,0.003826530612244916,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C4,C6,0.011479591836734748,Q4,0.009541397353031722,0.010025062656641603,0.010964912280701733,0.011479591836734748,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C4,C7,0.014465989535241586,Q1,0.014465989535241586,0.00877192982456132,0.010964912280701733,0.0044642857142858094,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C5,C6,0.007653061224489832,Q4,0.004309018159433631,0.004072681704260672,0.0015664160401002158,0.007653061224489832,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C5,C7,0.0028195488721803885,Q2,0.000615574022776233,0.0028195488721803885,0.0015664160401002158,0.0006377551020408934,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C6,C7,0.007015306122448939,Q4,0.004924592182209864,0.0012531328320802837,0.0,0.007015306122448939,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d3of4,297,C1,C2,0.014987244897959107,Q4,0.010156971375807955,0.012218045112781906,0.009085213032581474,0.014987244897959107,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C1,C3,0.013711734693877542,Q4,0.002462296091104932,0.006265664160400974,0.006265664160400974,0.013711734693877542,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C1,C4,0.007205513784461104,Q3,0.0015389350569405824,0.0009398496240601295,0.007205513784461104,0.0015943877551021224,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C1,C5,0.01231148045552477,Q1,0.01231148045552477,0.006892230576441061,0.005325814536340845,0.0022321428571427937,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C1,C6,0.010964912280701733,Q2,0.00800246229609114,0.010964912280701733,0.003759398496240629,0.009885204081632626,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C1,C7,0.012927054478301003,Q1,0.012927054478301003,0.00971177944862145,0.003759398496240629,0.002869897959183687,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C2,C3,0.007694675284703023,Q1,0.007694675284703023,0.005952380952380931,0.0028195488721804995,0.0012755102040815647,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C2,C4,0.01658163265306123,Q4,0.011695906432748537,0.011278195488721776,0.016290726817042578,0.01658163265306123,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C2,C5,0.012755102040816313,Q4,0.0021545090797168154,0.005325814536340845,0.003759398496240629,0.012755102040816313,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C2,C6,0.005325814536340845,Q3,0.0021545090797168154,0.0012531328320801727,0.005325814536340845,0.005102040816326481,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C2,C7,0.01211734693877542,Q4,0.0027700831024930483,0.0025062656641604564,0.005325814536340845,0.01211734693877542,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C3,C4,0.015306122448979664,Q4,0.004001231148045514,0.005325814536340845,0.013471177944862078,0.015306122448979664,True,stage18-scaling-24a9adb84176,2,3,7450,297
s2-step7450-f9of10-d3of4,297,C3,C5,0.011479591836734748,Q4,0.009849184364419838,0.0006265664160400863,0.0009398496240601295,0.011479591836734748,True,stage18-scaling-24a9adb84176,2,3,7450,297
